bloque,anio,categoria,valor,referencia,dif,n,media,mediana,p25,p75,pct_del_total_retirados,masa_en_cero_pct,pct_de_cotizantes_def_a,estacionaria,dif_estac_vs_enoe
1_transversal,2025.0,formal_IMSS,24.456,22.082,2.374,,,,,,,,,,
1_transversal,2025.0,formal_ISSSTE,4.939,4.332,0.607,,,,,,,,,,
1_transversal,2025.0,informal,39.963,31.621,8.342,,,,,,,,,,
1_transversal,2025.0,desempleado,2.151,1.462,0.689,,,,,,,,,,
1_transversal,2025.0,fuera_PEA,28.492,40.503,-12.011,,,,,,,,,,
1_transversal,2026.0,formal_IMSS,24.223,22.082,2.141,,,,,,,,,,
1_transversal,2026.0,formal_ISSSTE,5.095,4.332,0.763,,,,,,,,,,
1_transversal,2026.0,informal,40.371,31.621,8.75,,,,,,,,,,
1_transversal,2026.0,desempleado,2.143,1.462,0.681,,,,,,,,,,
1_transversal,2026.0,fuera_PEA,28.168,40.503,-12.335,,,,,,,,,,
1_transversal,2027.0,formal_IMSS,24.666,22.082,2.584,,,,,,,,,,
1_transversal,2027.0,formal_ISSSTE,5.293,4.332,0.961,,,,,,,,,,
1_transversal,2027.0,informal,39.902,31.621,8.281,,,,,,,,,,
1_transversal,2027.0,desempleado,2.03,1.462,0.568,,,,,,,,,,
1_transversal,2027.0,fuera_PEA,28.109,40.503,-12.394,,,,,,,,,,
1_transversal,2028.0,formal_IMSS,24.861,22.082,2.779,,,,,,,,,,
1_transversal,2028.0,formal_ISSSTE,5.109,4.332,0.777,,,,,,,,,,
1_transversal,2028.0,informal,39.808,31.621,8.187,,,,,,,,,,
1_transversal,2028.0,desempleado,1.77,1.462,0.309,,,,,,,,,,
1_transversal,2028.0,fuera_PEA,28.452,40.503,-12.051,,,,,,,,,,
1_transversal,2029.0,formal_IMSS,24.9,22.082,2.818,,,,,,,,,,
1_transversal,2029.0,formal_ISSSTE,4.885,4.332,0.553,,,,,,,,,,
1_transversal,2029.0,informal,39.905,31.621,8.284,,,,,,,,,,
1_transversal,2029.0,desempleado,1.82,1.462,0.358,,,,,,,,,,
1_transversal,2029.0,fuera_PEA,28.49,40.503,-12.014,,,,,,,,,,
1_transversal,2030.0,formal_IMSS,24.685,22.082,2.603,,,,,,,,,,
1_transversal,2030.0,formal_ISSSTE,5.214,4.332,0.882,,,,,,,,,,
1_transversal,2030.0,informal,39.857,31.621,8.236,,,,,,,,,,
1_transversal,2030.0,desempleado,1.754,1.462,0.293,,,,,,,,,,
1_transversal,2030.0,fuera_PEA,28.49,40.503,-12.013,,,,,,,,,,
1_transversal,2031.0,formal_IMSS,24.2,22.082,2.118,,,,,,,,,,
1_transversal,2031.0,formal_ISSSTE,5.104,4.332,0.772,,,,,,,,,,
1_transversal,2031.0,informal,40.22,31.621,8.599,,,,,,,,,,
1_transversal,2031.0,desempleado,1.88,1.462,0.419,,,,,,,,,,
1_transversal,2031.0,fuera_PEA,28.596,40.503,-11.907,,,,,,,,,,
1_transversal,2032.0,formal_IMSS,24.471,22.082,2.389,,,,,,,,,,
1_transversal,2032.0,formal_ISSSTE,5.084,4.332,0.752,,,,,,,,,,
1_transversal,2032.0,informal,39.674,31.621,8.053,,,,,,,,,,
1_transversal,2032.0,desempleado,2.068,1.462,0.606,,,,,,,,,,
1_transversal,2032.0,fuera_PEA,28.703,40.503,-11.8,,,,,,,,,,
1_transversal,2033.0,formal_IMSS,24.476,22.082,2.394,,,,,,,,,,
1_transversal,2033.0,formal_ISSSTE,5.228,4.332,0.896,,,,,,,,,,
1_transversal,2033.0,informal,39.774,31.621,8.152,,,,,,,,,,
1_transversal,2033.0,desempleado,1.807,1.462,0.345,,,,,,,,,,
1_transversal,2033.0,fuera_PEA,28.716,40.503,-11.787,,,,,,,,,,
1_transversal,2034.0,formal_IMSS,24.941,22.082,2.859,,,,,,,,,,
1_transversal,2034.0,formal_ISSSTE,5.629,4.332,1.298,,,,,,,,,,
1_transversal,2034.0,informal,40.143,31.621,8.521,,,,,,,,,,
1_transversal,2034.0,desempleado,1.781,1.462,0.32,,,,,,,,,,
1_transversal,2034.0,fuera_PEA,27.506,40.503,-12.997,,,,,,,,,,
1_transversal,2035.0,formal_IMSS,25.505,22.082,3.423,,,,,,,,,,
1_transversal,2035.0,formal_ISSSTE,5.524,4.332,1.192,,,,,,,,,,
1_transversal,2035.0,informal,39.163,31.621,7.542,,,,,,,,,,
1_transversal,2035.0,desempleado,1.598,1.462,0.137,,,,,,,,,,
1_transversal,2035.0,fuera_PEA,28.209,40.503,-12.294,,,,,,,,,,
2_densidad,,a_actual,,,,3595.0,0.248,0.22,0.12,0.3595,,,,,
2_densidad,,b_cuentahabiente,,,,3595.0,0.2951,0.2727,0.1522,0.4142,,,,,
2_densidad,,c_cotizante_reciente,,,,1422.0,0.3234,0.32,0.2,0.44,,,,,
3_masa_cero,,a_anios_formal_gt0,,,,10693.0,,,,,91.09,83.99,,,
3_masa_cero,,b_anios_formal_ge5,,,,8502.0,,,,,72.43,79.86,,,
3_masa_cero,,c_anios_formal_ge10,,,,5693.0,,,,,48.5,69.93,,,
3_masa_cero,,d_semanas_ge250,,,,8502.0,,,,,72.43,79.86,,,
3_masa_cero,,marginales_1a4_anios,,,,2191.0,,,,,,100.0,20.49,,
4_benchmark_correcto,,formal_IMSS,24.46,25.22,-0.76,,,,,,,,,23.894,-1.325
4_benchmark_correcto,,formal_ISSSTE,4.94,4.969,-0.029,,,,,,,,,4.869,-0.1
4_benchmark_correcto,,informal,39.96,40.428,-0.468,,,,,,,,,42.444,2.016
4_benchmark_correcto,,desempleado,2.15,1.435,0.715,,,,,,,,,2.3,0.865
4_benchmark_correcto,,fuera_PEA,28.49,27.948,0.542,,,,,,,,,26.493,-1.456
